question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,correct_answer,model,confident,temperature,agent_1_ans,agent_2_ans,agent_3_ans
q3,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,B,gemma3:4b,0,0.5,C,B,B
q3,1,1.0,0.0,0.0,0.0,A,A,B,gemma3:4b,0,0.5,C,B,B
q3,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:4b,0,0.5,C,B,B
q3,3,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,B,gemma3:4b,0,0.5,C,B,B
q4,0,0.0,0.0,1.0,0.0,C,D,D,gemma3:4b,1,0.5,C,C,C
q4,1,0.0,0.3333333333333333,0.0,0.6666666666666666,D,C,D,gemma3:4b,1,0.5,C,C,C
q4,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:4b,1,0.5,C,C,C
q4,3,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,D,gemma3:4b,1,0.5,C,C,C
q2,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:4b,1,0.5,A,A,A
q2,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1,0.5,A,A,A
q2,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,1,0.5,A,A,A
q2,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:4b,1,0.5,A,A,A
q1,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:4b,1,0.5,D,D,D
q1,1,0.0,0.3333333333333333,0.6666666666666666,0.0,C,B,C,gemma3:4b,1,0.5,D,D,D
q1,2,0.0,1.0,0.0,0.0,B,A,C,gemma3:4b,1,0.5,D,D,D
q1,3,0.0,0.0,0.0,1.0,D,D,C,gemma3:4b,1,0.5,D,D,D
q5,0,1.0,0.0,0.0,0.0,A,D,D,gemma3:4b,1,0.5,A,A,A
q5,1,0.0,0.0,0.0,1.0,D,C,D,gemma3:4b,1,0.5,A,A,A
q5,2,0.0,0.0,1.0,0.0,C,B,D,gemma3:4b,1,0.5,A,A,A
q5,3,0.0,1.0,0.0,0.0,B,A,D,gemma3:4b,1,0.5,A,A,A
q7,0,0.0,0.0,1.0,0.0,C,D,D,gemma3:4b,1,0.5,C,C,C
q7,1,0.0,1.0,0.0,0.0,B,C,D,gemma3:4b,1,0.5,C,C,C
q7,2,0.6666666666666666,0.0,0.0,0.3333333333333333,A,B,D,gemma3:4b,1,0.5,C,C,C
q7,3,0.0,0.0,0.0,1.0,D,A,D,gemma3:4b,1,0.5,C,C,C
q6,0,0.0,1.0,0.0,0.0,B,B,B,gemma3:4b,1,0.5,B,B,B
q6,1,0.0,1.0,0.0,0.0,B,A,B,gemma3:4b,1,0.5,B,B,B
q6,2,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,B,gemma3:4b,1,0.5,B,B,B
q6,3,0.0,0.0,1.0,0.0,C,C,B,gemma3:4b,1,0.5,B,B,B
q8,0,0.0,1.0,0.0,0.0,B,B,B,gemma3:4b,1,0.5,B,B,B
q8,1,0.0,0.0,0.0,1.0,D,A,B,gemma3:4b,1,0.5,B,B,B
q8,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,D,B,gemma3:4b,1,0.5,B,B,B
q8,3,0.0,1.0,0.0,0.0,B,C,B,gemma3:4b,1,0.5,B,B,B
q11,0,0.0,0.0,1.0,0.0,C,B,B,gemma3:4b,1,0.5,C,C,C
q11,1,0.0,0.0,0.0,1.0,D,A,B,gemma3:4b,1,0.5,C,C,C
q11,2,0.0,0.0,0.0,1.0,D,D,B,gemma3:4b,1,0.5,C,C,C
q11,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,B,gemma3:4b,1,0.5,C,C,C
q10,0,0.0,1.0,0.0,0.0,B,C,C,gemma3:4b,1,0.5,B,B,B
q10,1,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,C,gemma3:4b,1,0.5,B,B,B
q10,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,1,0.5,B,B,B
q10,3,0.0,0.0,1.0,0.0,C,D,C,gemma3:4b,1,0.5,B,B,B
q9,0,0.0,1.0,0.0,0.0,B,A,A,gemma3:4b,1,0.5,B,B,B
q9,1,0.3333333333333333,0.0,0.0,0.6666666666666666,D,D,A,gemma3:4b,1,0.5,B,B,B
q9,2,0.0,0.0,0.0,1.0,D,C,A,gemma3:4b,1,0.5,B,B,B
q9,3,0.0,0.0,1.0,0.0,C,B,A,gemma3:4b,1,0.5,B,B,B
q12,0,0.0,0.0,0.0,1.0,D,D,D,gemma3:4b,1,0.5,D,D,D
q12,1,0.0,0.0,1.0,0.0,C,C,D,gemma3:4b,1,0.5,D,D,D
q12,2,0.0,1.0,0.0,0.0,B,B,D,gemma3:4b,1,0.5,D,D,D
q12,3,1.0,0.0,0.0,0.0,A,A,D,gemma3:4b,1,0.5,D,D,D
q14,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:4b,1,0.5,A,A,A
q14,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1,0.5,A,A,A
q14,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,1,0.5,A,A,A
q14,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:4b,1,0.5,A,A,A
q13,0,0.0,0.0,0.0,1.0,D,A,A,gemma3:4b,1,0.5,D,D,D
q13,1,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,A,gemma3:4b,1,0.5,D,D,D
q13,2,0.0,1.0,0.0,0.0,B,C,A,gemma3:4b,1,0.5,D,D,D
q13,3,0.3333333333333333,0.6666666666666666,0.0,0.0,B,B,A,gemma3:4b,1,0.5,D,D,D
q16,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:4b,1,0.5,A,A,A
q16,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1,0.5,A,A,A
q16,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,1,0.5,A,A,A
q16,3,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,A,gemma3:4b,1,0.5,A,A,A
q15,0,1.0,0.0,0.0,0.0,A,A,A,gemma3:4b,1,0.5,A,A,A
q15,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,1,0.5,A,A,A
q15,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,1,0.5,A,A,A
q15,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:4b,1,0.5,A,A,A
q17,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,A,gemma3:4b,0,0.5,A,A,C
q17,1,0.0,0.0,0.0,1.0,D,D,A,gemma3:4b,0,0.5,A,A,C
q17,2,0.0,0.0,1.0,0.0,C,C,A,gemma3:4b,0,0.5,A,A,C
q17,3,0.0,1.0,0.0,0.0,B,B,A,gemma3:4b,0,0.5,A,A,C
q18,0,0.0,1.0,0.0,0.0,B,A,A,gemma3:4b,1,0.5,B,B,B
q18,1,0.6666666666666666,0.0,0.0,0.3333333333333333,A,D,A,gemma3:4b,1,0.5,B,B,B
q18,2,0.0,0.0,0.3333333333333333,0.6666666666666666,D,C,A,gemma3:4b,1,0.5,B,B,B
q18,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,B,A,gemma3:4b,1,0.5,B,B,B
q19,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:4b,1,0.5,C,C,C
q19,1,0.0,1.0,0.0,0.0,B,D,A,gemma3:4b,1,0.5,C,C,C
q19,2,1.0,0.0,0.0,0.0,A,C,A,gemma3:4b,1,0.5,C,C,C
q19,3,0.0,0.0,0.0,1.0,D,B,A,gemma3:4b,1,0.5,C,C,C
q20,0,0.0,0.0,1.0,0.0,C,A,A,gemma3:4b,1,0.5,C,C,C
q20,1,0.0,1.0,0.0,0.0,B,D,A,gemma3:4b,1,0.5,C,C,C
q20,2,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,A,gemma3:4b,1,0.5,C,C,C
q20,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,B,A,gemma3:4b,1,0.5,C,C,C
q21,0,0.0,0.0,0.0,1.0,D,C,C,gemma3:4b,1,0.5,D,D,D
q21,1,0.0,0.0,1.0,0.0,C,B,C,gemma3:4b,1,0.5,D,D,D
q21,2,0.0,0.0,0.5,0.5,D,A,C,gemma3:4b,1,0.5,D,D,D
q21,3,0.0,0.3333333333333333,0.0,0.6666666666666666,D,D,C,gemma3:4b,1,0.5,D,D,D
q22,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,C,gemma3:4b,0,0.5,C,B,B
q22,1,0.0,1.0,0.0,0.0,B,B,C,gemma3:4b,0,0.5,C,B,B
q22,2,0.0,0.0,0.0,1.0,D,A,C,gemma3:4b,0,0.5,C,B,B
q22,3,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,C,gemma3:4b,0,0.5,C,B,B
q23,0,0.0,1.0,0.0,0.0,B,B,B,gemma3:4b,1,0.5,B,B,B
q23,1,1.0,0.0,0.0,0.0,A,A,B,gemma3:4b,1,0.5,B,B,B
