question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model
q18,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,B,gemma3:4b
q18,1,0.0,0.0,0.0,1.0,D,A,gemma3:4b
q18,2,0.0,0.0,1.0,0.0,C,D,gemma3:4b
q18,3,0.0,1.0,0.0,0.0,B,C,gemma3:4b
q29,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b
q29,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q29,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b
q29,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b
q50,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,A,gemma3:4b
q50,1,1.0,0.0,0.0,0.0,A,D,gemma3:4b
q50,2,0.0,0.0,0.0,1.0,D,C,gemma3:4b
q50,3,0.0,0.0,1.0,0.0,C,B,gemma3:4b
q67,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:4b
q67,1,0.0,0.0,0.0,1.0,D,D,gemma3:4b
q67,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b
q67,3,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q213,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b
q213,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q213,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b
q213,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b
q275,0,0.0,0.6666666666666666,0.0,0.3333333333333333,B,B,gemma3:4b
q275,1,0.0,0.0,1.0,0.0,C,A,gemma3:4b
q275,2,0.0,1.0,0.0,0.0,B,D,gemma3:4b
q275,3,1.0,0.0,0.0,0.0,A,C,gemma3:4b
q351,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:4b
q351,1,0.0,1.0,0.0,0.0,B,C,gemma3:4b
q351,2,0.0,0.0,0.0,1.0,D,B,gemma3:4b
q351,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b
q616,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,A,gemma3:4b
q616,1,0.0,1.0,0.0,0.0,B,D,gemma3:4b
q616,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b
q616,3,0.0,0.0,0.0,1.0,D,B,gemma3:4b
q655,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,gemma3:4b
q655,1,0.0,0.0,1.0,0.0,C,A,gemma3:4b
q655,2,0.0,0.0,1.0,0.0,C,D,gemma3:4b
q655,3,1.0,0.0,0.0,0.0,A,C,gemma3:4b
q762,0,0.6666666666666666,0.0,0.0,0.3333333333333333,A,C,gemma3:4b
q762,1,0.0,0.0,0.0,1.0,D,B,gemma3:4b
q762,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b
q762,3,0.0,1.0,0.0,0.0,B,D,gemma3:4b
q798,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,D,gemma3:4b
q798,1,0.0,0.0,0.0,1.0,D,C,gemma3:4b
q798,2,0.0,0.0,1.0,0.0,C,B,gemma3:4b
q798,3,0.0,1.0,0.0,0.0,B,A,gemma3:4b
q809,0,0.3333333333333333,0.6666666666666666,0.0,0.0,B,D,gemma3:4b
q809,1,0.0,0.0,1.0,0.0,C,C,gemma3:4b
q809,2,0.0,0.0,1.0,0.0,C,B,gemma3:4b
q809,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b
q928,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:4b
q928,1,0.0,0.0,0.0,1.0,D,D,gemma3:4b
q928,2,0.0,0.0,1.0,0.0,C,C,gemma3:4b
q928,3,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q1103,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:4b
q1103,1,0.0,1.0,0.0,0.0,B,C,gemma3:4b
q1103,2,1.0,0.0,0.0,0.0,A,B,gemma3:4b
q1103,3,0.0,0.0,1.0,0.0,C,A,gemma3:4b
q1121,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b
q1121,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q1121,2,1.0,0.0,0.0,0.0,A,A,gemma3:4b
q1121,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b
q1163,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,C,gemma3:4b
q1163,1,0.0,1.0,0.0,0.0,B,B,gemma3:4b
q1163,2,0.0,1.0,0.0,0.0,B,A,gemma3:4b
q1163,3,0.0,0.0,0.0,1.0,D,D,gemma3:4b
