question_id,permutation_idx,prob_A,prob_B,prob_C,prob_D,predicted_answer,correct_position,model,is_correct_fixed,debiased_predicted_answer,debiased_is_correct
q37,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b,0,A,0
q37,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q37,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q37,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q46,0,0.3333333333333333,0.0,0.0,0.6666666666666666,D,B,gemma3:1b,0,D,0
q46,1,0.0,0.0,0.0,1.0,D,A,gemma3:1b,0,D,0
q46,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q46,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q52,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b,0,A,0
q52,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q52,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q52,3,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q53,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b,1,A,1
q53,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q53,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q53,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q103,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b,0,C,0
q103,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q103,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q103,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q116,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,D,gemma3:1b,0,B,0
q116,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q116,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q116,3,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q119,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,D,gemma3:1b,0,C,0
q119,1,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q119,2,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q119,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q143,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b,0,C,0
q143,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q143,2,0.0,1.0,0.0,0.0,B,C,gemma3:1b,0,B,0
q143,3,0.0,1.0,0.0,0.0,B,B,gemma3:1b,1,B,1
q180,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b,0,A,0
q180,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q180,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q180,3,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q187,0,0.0,0.0,0.6666666666666666,0.3333333333333333,C,D,gemma3:1b,0,D,1
q187,1,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q187,2,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q187,3,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q232,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b,1,A,1
q232,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q232,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q232,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q245,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b,0,A,0
q245,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q245,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q245,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q260,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,A,gemma3:1b,0,C,0
q260,1,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q260,2,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q260,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q265,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,gemma3:1b,1,B,1
q265,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q265,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q265,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q285,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b,0,A,0
q285,1,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q285,2,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q285,3,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q288,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,C,gemma3:1b,0,B,0
q288,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q288,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q288,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q310,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,C,gemma3:1b,1,C,1
q310,1,0.0,0.0,0.0,1.0,D,B,gemma3:1b,0,D,0
q310,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q310,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q314,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b,0,A,0
q314,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q314,2,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q314,3,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q407,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,C,gemma3:1b,0,A,0
q407,1,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q407,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q407,3,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q410,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:1b,1,B,0
q410,1,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q410,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q410,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q442,0,0.0,0.3333333333333333,0.6666666666666666,0.0,C,C,gemma3:1b,1,B,0
q442,1,0.0,0.0,0.0,1.0,D,B,gemma3:1b,0,D,0
q442,2,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q442,3,0.0,1.0,0.0,0.0,B,D,gemma3:1b,0,B,0
q499,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,B,gemma3:1b,0,A,0
q499,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q499,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q499,3,1.0,0.0,0.0,0.0,A,C,gemma3:1b,0,A,0
q507,0,0.3333333333333333,0.0,0.6666666666666666,0.0,C,B,gemma3:1b,0,C,0
q507,1,1.0,0.0,0.0,0.0,A,A,gemma3:1b,1,A,1
q507,2,1.0,0.0,0.0,0.0,A,D,gemma3:1b,0,A,0
q507,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q524,0,0.6666666666666666,0.0,0.3333333333333333,0.0,A,A,gemma3:1b,1,A,1
q524,1,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q524,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q524,3,0.0,0.0,1.0,0.0,C,B,gemma3:1b,0,C,0
q646,0,0.6666666666666666,0.3333333333333333,0.0,0.0,A,A,gemma3:1b,1,B,0
q646,1,0.0,0.0,1.0,0.0,C,D,gemma3:1b,0,C,0
q646,2,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
q646,3,1.0,0.0,0.0,0.0,A,B,gemma3:1b,0,A,0
q649,0,0.0,0.6666666666666666,0.3333333333333333,0.0,B,B,gemma3:1b,1,B,1
q649,1,0.0,0.0,1.0,0.0,C,A,gemma3:1b,0,C,0
q649,2,0.0,0.0,0.0,1.0,D,D,gemma3:1b,1,D,1
q649,3,0.0,0.0,1.0,0.0,C,C,gemma3:1b,1,C,1
