question_id,model,predicted_answer,correct_answer,is_correct,agent_1_ans,agent_2_ans,agent_3_ans,question
q4,gemma3:4b,D,D,1,D,D,D,The middle classes that developed over the nineteenth century were:
q3,gemma3:4b,B,B,1,B,B,B,Becker proclaimed that cannabis use was:
q2,gemma3:4b,A,A,1,A,A,A,The ecological approach to urban sociology involved studying:
q5,gemma3:4b,A,D,0,A,A,A,Technological forms of surveillance have made it easier to:
q6,gemma3:4b,B,B,1,B,B,B,The concept of gemeinschaft developed by Ferdinand Tönnies describes basically the same relational characteristics as
q7,gemma3:4b,C,D,0,C,C,C,There was a growth in income inequality in the 1980s because:
q8,gemma3:4b,B,B,1,B,B,B,"If a deviant act is 'normalized', it is:"
q9,gemma3:4b,B,A,0,B,B,B,"In the debate about the 'managerial revolution', John Scott (1997) argued that:"
q1,gemma3:4b,C,C,1,C,D,D,Mass-society theory suggests that:
q10,gemma3:4b,B,C,0,B,B,B,Marxist feminists explain patriarchy in terms of:
q12,gemma3:4b,D,D,1,D,D,D,Anti-psychiatrists like Laing & Esterson believed that:
q14,gemma3:4b,A,A,1,A,A,A,"In contemporary societies, social institutions are:"
q15,gemma3:4b,A,A,1,A,A,A,The term 'emotion work' (Hochschild 1983) refers to:
q13,gemma3:4b,A,A,1,D,A,A,Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:
q16,gemma3:4b,A,A,1,A,A,A,"When sociologists study the structure of layers in society and people's movement between them, they call this:"
q11,gemma3:4b,D,B,0,D,B,B,Which of the following was not defined by Giddens (1998) as part of New Labour's 'third way':
q19,gemma3:4b,C,A,0,C,C,C,"After slavery was abolished in the USA and British Empire, policy makers claimed that former slaves migrating to these cities would experience:"
q20,gemma3:4b,C,A,0,C,C,C,Sutherland's study of the 'professional thief' suggested that:
q18,gemma3:4b,B,A,0,B,A,B,An ecclesia is:
q17,gemma3:4b,A,A,1,A,D,A,"The four ideal types of social action that Weber identified were as follows: instrumentally-rational, value-rational, traditional, and..."
